id	Nom du cépage	Cépage	Régions	Vignobles	Sous-régions	Superficie en France (ha)	Superficie mondiale (ha)	Pourcentage	Mono-cépage remarquable	Appellation remarquable	Remarques 	Alsace	Armagnac	Bordeaux	Bourgogne	Champagne	Cognac	Corse	Jura	Languedoc	Loire	Provence	Rhone	Savoie	Sud-Ouest
38	Pinot Noir	Noir	Bourgogne, Champagne, Alsace, Loire	bourgogne, champagne, alsace, loire		32 300	63 000	51,27%			Fait partie des trois cépages participant à la création du Champagne	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
39	Syrah	Noir	Rhone, Languedoc	rhone, languedoc		64 000	50 000	128,00%				TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
40	Tannat	Noir				2 900		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
41	Pinot Meunier 	Gris				10 700		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
42	Pinot Gris	Gris				2 900		#DIV/0!			Fait partie des trois cépages participant à la création du Champagne	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
43	Gros Manseng	Blanc				3 400		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
44	Grenache blanc	Blanc				5 500		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
45	Colombard	Blanc				9 800		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
46	Muscat de Hambourg	Blanc				2 900		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
47	Alicanté	Noir				2 800		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
48	Auxerrois	Blanc				2 500		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
49	Grolleau	Noir				2 100		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
50	Macabeu	Blanc				1 800		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
51	Grenache gris 	Gris				1 500		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
52	Petit Manseng	Blanc				1 300		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
53	Pinot Blanc	Blanc				1 200		#DIV/0!				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
